Algorithm,Training Time,Accuracy,Precision,Recall,F1-Measure
"AdaBoost (N=30, learning_rate=0.700000)",0.483000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=30, learning_rate=0.800000)",0.466000s,0.92929292929292928,0.88461538461538458,0.97872340425531912,0.92929292929292928
"AdaBoost (N=30, learning_rate=0.900000)",0.480000s,0.95959595959595956,0.92156862745098034,1.0,0.95918367346938782
"AdaBoost (N=30, learning_rate=1.000000)",0.472000s,0.91919191919191923,0.86792452830188682,0.97872340425531912,0.91999999999999993
"AdaBoost (N=40, learning_rate=0.100000)",0.626000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"AdaBoost (N=40, learning_rate=0.500000)",0.627000s,0.95959595959595956,0.93877551020408168,0.97872340425531912,0.95833333333333326
"AdaBoost (N=40, learning_rate=0.700000)",0.636000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
"AdaBoost (N=40, learning_rate=0.800000)",0.627000s,0.92929292929292928,0.88461538461538458,0.97872340425531912,0.92929292929292928
"AdaBoost (N=40, learning_rate=0.900000)",0.615000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
"AdaBoost (N=40, learning_rate=1.000000)",0.623000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
"AdaBoost (N=100, learning_rate=0.100000)",1.576000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
"AdaBoost (N=100, learning_rate=0.500000)",1.543000s,0.91919191919191923,0.86792452830188682,0.97872340425531912,0.91999999999999993
"AdaBoost (N=100, learning_rate=0.700000)",1.632000s,0.9494949494949495,0.92000000000000004,0.97872340425531912,0.94845360824742264
"AdaBoost (N=100, learning_rate=0.800000)",1.589000s,0.9494949494949495,0.92000000000000004,0.97872340425531912,0.94845360824742264
"AdaBoost (N=100, learning_rate=0.900000)",1.546000s,0.95959595959595956,0.92156862745098034,1.0,0.95918367346938782
"AdaBoost (N=100, learning_rate=1.000000)",1.579000s,0.95959595959595956,0.92156862745098034,1.0,0.95918367346938782
"AdaBoost (N=1000, learning_rate=0.100000)",16.390000s,0.96969696969696972,0.93999999999999995,1.0,0.96907216494845361
"AdaBoost (N=1000, learning_rate=0.500000)",16.868000s,0.97979797979797978,0.95918367346938771,1.0,0.97916666666666663
"AdaBoost (N=1000, learning_rate=0.700000)",16.619000s,0.96969696969696972,0.93999999999999995,1.0,0.96907216494845361
"AdaBoost (N=1000, learning_rate=0.800000)",16.971000s,0.97979797979797978,0.95918367346938771,1.0,0.97916666666666663
"AdaBoost (N=1000, learning_rate=0.900000)",17.408000s,0.96969696969696972,0.93999999999999995,1.0,0.96907216494845361
"AdaBoost (N=1000, learning_rate=1.000000)",17.367000s,0.96969696969696972,0.93999999999999995,1.0,0.96907216494845361
k-NN (k=1),0.016000s,0.84848484848484851,0.7857142857142857,0.93617021276595747,0.85436893203883502
k-NN (k=5),0.016000s,0.83838383838383834,0.76271186440677963,0.95744680851063835,0.84905660377358494
k-NN (k=10),0.019000s,0.81818181818181823,0.74576271186440679,0.93617021276595747,0.83018867924528306
k-NN (k=20),0.019000s,0.79797979797979801,0.81395348837209303,0.74468085106382975,0.77777777777777779
k-NN (k=30),0.016000s,0.6767676767676768,0.80000000000000004,0.42553191489361702,0.55555555555555569
k-NN (k=35),0.019000s,0.65656565656565657,0.78260869565217395,0.38297872340425532,0.51428571428571435
k-NN (k=40),0.017000s,0.65656565656565657,0.78260869565217395,0.38297872340425532,0.51428571428571435
